;; -*- coding: utf-8 -*-
a 阿
a-a-a 阿阿阿
a-s-d 阿速度
a-su-du 阿速度
c 春
c-h 彩虹
c-h-m 彩虹猫
c-j 春节
c-r 插入
cai-hong 彩虹
cai-hong-mao 彩虹猫
cha-ru 插入
chun 春
chun-jie 春节
d 的
de 的
f-g 覆盖
f-z 防止
fang-zhi 防止
fu-gai 覆盖
g-d 滚动
gun-dong 滚动
h 好
hao 好
j 杰
jie 杰
m 猫
mao 猫
n 你
n-h 你好
n-h-a 你好阿
n-s 你是
ni 你
ni-hao 你好
ni-hao-a 你好阿
ni-shi 你是
p 屏 拼
p-y 拼音
pin 拼
pin-yin 拼音
ping 屏
q 全
q-p 全屏
quan 全
quan-ping 全屏
r 入 如
ru 入 如
s 时 输 谁 是
s-d 速度
s-r 输入
s-r-f 输入法
shei 谁
shi 时 是
shu 输
shu-ru 输入
shu-ru-fa 输入法
shui 谁
su-du 速度
t 跳
t-d 跳动
t-z 跳转
tiao 跳
tiao-dong 跳动
tiao-zhuan 跳转
w-j 我叫
w-j-z-c-j 我叫赵春杰
wo-jiao 我叫
wo-jiao-zhao-chun-jie 我叫赵春杰
y 音
y-m 页面
ye-mian 页面
yin 音
z 转 赵 中
z-c-j 赵春杰 赵春节
z-d 自动
z-w 中文
zhao 赵
zhao-chun-jie 赵春杰 赵春节
zhong 中
zhong-wen 中文
zhuan 转
zi-dong 自动
